crop_name,crop_diseases,crop_causes,crop_symptom,cultural_control,chemical_control,biological_control
Ajuga,Crown Rot,"The fungus Phoma sp. has been found in greenhouse grown plants by the OSU Plant Clinic and reported from Georgia. The problem in Georgia was attributed to infected plants coming in from plug production facilities in Central America. Plants die quickly.
Sclerotium rolfsii can also infect crowns and causes a sudden wilting and death but is rarely seen in the PNW.


","A thin white coating may develop across the leaf surface or whitish patches can occur scattered on upper leaf surfaces. This can develop into yellowing, dulling, wilting, and death of plant foliage. Roots have a dark brown discoloration.


","Sanitation of diseased plants will be the best option as there are no controls once the fungus has infected plants.

1) Inspect plugs for discolored roots and discard plants when found.

",,
Ajuga,Powdery Mildew,"Both Golovinomyces biocellatus and Neoerysiphe galeopsidis have been reported on Ajuga from North America. Powdery mildew has not been reported formally for the Pacific Northwest, but it is a common problem. This fungus is favored by conditions that produce high humidity but dry leaves. It is a highly specialized pathogen that forms a close association with the host. Conditions that favor the host also favor the pathogen. Much of the fungus remains outside infected plant parts where it grows on the surface but sinks root-like structures called haustoria into plant cells to obtain nutrients. The white growth seen is composed of both mycelium and fungal spores.


","Grayish-white, powdery spots develop on leaves. May cover entire surface of the leaf by the end of the growing season.


","

1) Space plants for good air circulation.

2) Grow resistant cultivars.

","Fungicides will do best when used before symptoms develop. Few materials have good eradicant activity. Use at 7- to 14-day intervals; using shorter intervals when environmental conditions favor disease development. Alternate or tank-mix products from different groups that have different modes of action.


1) Bicarbonate-based products (85% potassium bicarbonate) might be used to supplement a normal program when powdery mildew is first observed. Do not mix with acidifying agents. Thorough and frequent coverage is essential.

1.1) Armicarb ""O"" at 2.5 to 5 lb/100 gal water. 4-hr reentry.
1.2) MilStop at 2.5 to 5 lb/A in the field or 1.25 to 5 lb/100 gal water in the greenhouse. Oregon and Washington only. 1-hr reentry. 
2) Heritage at 1 to 4 oz/100 gal water plus a non-silicone-based wetter sticker. Group 11 fungicide. 4-hr reentry.

3) Insignia at 4 to 8 oz/100 gal water. Do not use with organosilicate-based adjuvants. Use preventively only. Group 11 fungicide. 12-hr reentry.

4) Rubigan AS at 3 to 5 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

5) Terraguard SC at 4 to 8 fl oz/100 gal water. Although a 16 oz/100 gal water rate can be used for initial applications to existing infections, use only in conjunction with a regular scouting program that detects initial symptom development. Group 3 fungicide. 12-hr reentry.

",
Alder ,(Alnus spp.)-Armillaria Root Rot,"The fungus Armillaria nabsnona has been found associated with living and dead alders from the north coast of California through coastal Oregon, coastal Washington, and British Columbia. Infected trees are susceptible to being blown over especially on sites with flooding or steep slopes. Armillaria sp. infected trees were found inland in southern Oregon mostly on dead trees and with little on site canopy dieback.


","Infected trees may show canopy dieback and have root systems that are partially decayed. Wind thrown trees have root balls with partially decayed root systems and occur in pockets or areas. Black, shoestring-like structures, called rhizomorphs, occur on large diameter rotted roots. Numerous fruiting bodies arise from the root collar area of a diseased tree or cut stumps. Mushrooms are honey-colored or light tan, with a stalk 4 to 6 inches or more in height and a cap 2 to 4 inches across, often dotted with brown scales.


","In coastal areas avoid planting on steep banks and in areas subject to flooding to discourage development of hazard trees.

",,
Alder ,(Alnus spp.)-Brown Leaf Blotch,"Mycopappus alni (formerly Cercosporella alni) an ascomycete leaf pathogen forming filamentous conidia bunched in a mop-like mass. The conidial mass is held together by fungal stromatic tissue embedded in the leaf. These spore tufts are splash dispersed and readily dislodge from stromatic tissue by rain, dew or fog. Observed on red alders in Washington, Oregon, and on Vancouver Island, BC.


","Leaves form large brown blotches or spots without a well defined edge. A whitish crust of fungal tissue can often be seen in the center of the leaf spot. Often causes early abscission of leaves and defoliation of trees.


","None are specifically listed but the following may be helpful in a nursery or landscape.

1) Rake and destroy fallen leaves.

2) Maintain tree vigor with adequate water and fertilizer.

3) Space trees out in nursery production for good air circulation.

4) Avoid overhead irrigation that keeps plants wet for an extended period of time.

","Applied before rains to protect new growth if needed.


1) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

2) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

3) Spectracide Immunox at 1 fl oz/gal water.

",
Alder ,(Alnus spp.)-Canker and Stem Diseases,"There a number of fungi that can infect alder and result in stem decay and/or visible cankers. Few are economically important. Trunk rot is caused by Phellinus igniarius, which is reported to have some economic impact in timber, pulp, and recreation sites in British Columbia. Rough bark is caused by Didymosphaeria oregonensis and is thought to be limited to young trees. Canker growth stops as the bark thickens with age although rough bark remains on the trunks of mature trees. The gluing fungus, Hymenochaete agglutinans, kills the underlying cambium and forms cankers on live branches. Dead branches appear to be cemented to living branches giving the fungus its name. Silver leaf, Chondrostereum purpureum,  is largely a saprophyte but can be a weak parasite. It has been considered as a candidate for use as a biological control agent for red alder stump sprouts. Hypoxylon canker, Entoleuca mammata, also occurs on alder but is more important on poplar and willow. Cytospora canker may also be found on alder on winter-injured tissue.


","Phellinus trunk rot produces a hard, woody hoof-shaped fruiting body generally called a conk. Its presence indicates a lot of decay. Internal decay is soft, yellow-white wood that contains fine black zone lines that run throughout and surround the decay column.
Rough bark forms bands on the stem that range from 1 to 60 cm in length. Around active edges of the lesions, dark perithecia develop. Young trees may be deformed if numerous cankers are present.
The gluing fungus appears as a yellow-margined brown felt on cankers.
Silver leaf decay in wood appears as a reddish-brown stain that disappears as decay advances. In advanced stages the wood is dry, lightweight, and white-mottled to pale yellow in color. Peak production of fruiting bodies was in the spring in BC. Leaves take on a silvery appearance rather than the normal green color.


","

1) Keep trees in good vigor and avoid wounding.

2) Remove and destroy dead or severely cankered branches or trees.

",,
Alder ,(Alnus spp.)-Catkin Hypertrophy and Leaf Curl,"The fungi Taphrina japonica is associated with leaf curl while T. occidentalis is assciated with catkin hypertrophy. Spores overwinter on bud scales and twigs. Infection occurs as leaves emerge in the spring. This is seldom a significant problem in the PNW.


","Catkin scales enlarge and twist so that they look like reddish, curled tongues. A white, glistening layer of spores may develop on the surface of infected catkins. Leaves of red alder enlarge to several times normal size. They are generally curled, distorted, and turn purple. These leaves will shrivel, dry and fall off the tree. Trees will then have a new flush of leaf growth.


",,"Applied in the dormant season before buds begin to grow in the spring.


1) Lime Sulfur Ultra (27% Lime Sulfur) at 1.5 to 2 gal/100 gal water plus light medium summer oil. Do not allow to drift onto evergreens as conifers will be defoliated. 48-hr reentry.

2) Rex Lime Sulfur (28% Lime Sulfur) at 3 to 4 gal/100 gal water plus light medium summer oil. Do not allow to drift onto evergreens as conifers will be defoliated. 48-hr reentry.

",
Alder ,(Alnus spp.)-Collar Rot (Phytophthora Canker),"The oomycete Phytophthora siskiyouensis has been found on Alnus rubra (red alder) and A. rhombifolia (white alder) in southwestern Oregon, the Willamette Valley drainage area and in the coastal range. Infected trees are generally located in areas that are subject to flooding and/or high traffic areas with compacted soil. Saturated soils, due to rain or overwatering, favor the disease. Italian alder trees (A. cordata) have been found infected in northwest California. Tanoak (Notholithocarpus densiflorus) and myrtlewood (Umbellularia californica) are also hosts for this organism.


","Cankers generally arise from the root base or near the soil line. Trunks appear to have several small spots or large areas with bleeding lesions. These spots and patches on the bark are dark-brown-to-black, below these are reddish-to-dark-brown stains from oozing fluids. Cracks in the bark may also accompany these bleeding cankers. The vascular cambium below the bark is cinnamon to dark brown. Trees with large cankers may also show canopy dieback, but trees with cankers, even large ones, may have no apparent canopy symptoms. May be confused with Nectria canker. (Similar cankers occur on tanoak and blighted shoots occur on myrtlewood.)


","

1) Plant in areas with good drainage.

2) Do not allow lawn sprinklers to wet lower trunks of trees.

3) Correct drainage problems around trees.

","There are no fungicides specifically registered for disease on this this crop. However, several fungicides such as Aliette, Alude, Fosphite, Mefenoxam or Subdue may be effective if not phytotoxic to the plants. Fungicides work best when used as a protectant in combination with cultural controls.


",
Alder ,(Alnus spp.)-Leaf Spot,"Septoria alnifolia, a fungus that starts as a foliar pathogen and later causes severe stem cankers in alder nursery seedlings. Infected nursery seedlings with cankers must be culled prior to planting to prevent mortality and stem breakage.


","Small, dark yellow to pale brown, circular to irregular spots occur on leaves and stems. Spots are 1 to 20 mm in diameter with a dark brown somewhat raised margin. Large areas of the leaf may be covered when spots coalesce. Small dark fruiting bodies, pycnidia, form in the center of spots.


","None are specifically listed but the following may be helpful in a nursery or landscape.

1) Rake and destroy fallen leaves.

2) Maintain tree vigor with adequate water and fertilizer.

3) Space trees out in nursery production for good air circulation.

4) Avoid overhead irrigation that keeps plants wet for an extended period of time.

","


1) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

2) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

3) Spectracide Immunox at 1 fl oz/gal water.

",
Alder ,(Alnus spp.)-Nectria Canker,"The fungus Neonectria major occurs on both Alnus rubra (red alder) and Alnus incana. In southwest Washington perithecia began to develop through early spring and have been observed to contain mature asci by late spring and early summer. Ascospores release when the perithecia begin to dry following rain or high relative humidity. Spores may gain entry through natural opening such as leaf scars cracks at junctions of twigs and branches, senescence of lower branches, or lenticels. Spores may also infect wounds and injuries caused by winter cold, drought, sunscald, hail damage or insect feeding. Weakened or stressed trees from drought are more susceptible. Stands that receive an average of 10 inches or less of average fall precipitation should be closely monitored for infection. Perithecia have also been found on downed trees, thinning slash, and branches. May be confused with Collar Rot (Phytophthora Canker).


","Cankers begin as small, dark spots on the bark that secrete a dark exudate. During the second year spots enlarge and begin to affect the cambial region with cracks appearing in the bark. Typically the sunken area in the center also cracks, often in the shape of a cat's eye. In severe cases, these cankers resulted in tree death. Dark red perithecia can be found growing near the center of cankers.


","

1) Pre-commercial thinning of stands just prior to uniform crown recession. Thinning during the winter or early spring may help reduce inoculum.

2) Keep trees in good vigor and avoid wounding.

3) Prune lower branches before crown recession and remove thinning slash.

4) Remove and destroy dead or severely cankered branches or trees.

",,
Alder ,(Alnus spp.)-Phytophthora Root Rot,"There have been 12 Phytophthora spp. found across western Oregon on Alnus rubra (red alder) and Alnus rhombifolia (white alder). Phytophthora gonapodyides and ""P. taxon Pgchlamydo"" were found most often from fine and necrotic woody root lesions on red alder but P. alni, P. cambivora, P. europaea, P. lacustris P. pseudosyringae, and P. siskiyouensis were also isolated.


","Dark-brown-to-black lesions occur on fine and woody roots.


","

1) Plant in areas with good drainage.

2) Do not allow lawn sprinklers to wet lower trunks of trees.

3) Correct drainage problems around trees.

","There are no fungicides specifically registered for this disease on this crop. However, several fungicides such as Aliette, Alude, Fosphite, Mefenoxam or Subdue may be effective if not phytotoxic to the plants. Fungicides work best when used as a protectant in combination with cultural controls.


",
Alder ,(Alnus spp.)-Powdery Mildew,"Erysiphe aggregata, Erysiphe penicillata (formerly Microsphaera penicillata), and Phyllactinia alnicola have been reported from the Pacific Northwest. Generally does not warrant control.
The conidia of these fungi are readily wind disseminated. Chasmothecia develop within the external hyphae and form appendages late in their development. The uneven wall thickness of P. alnicola and bulbous nature of the appendages allows for the entire cleistocarp to be dislodged from the host. When dry, the appendages flex like a spider's legs and allow the cleistocarp to be dislodged and carried by wind. These fungi may overwinter as chasmothecia or through buds infected the previous season.


","White powdery growth on either leaf surface and on catkins. Mycelial growth is sparse but dark, spherical chasmothecia are obvious, especially on the underside of leaves late in the growing season.


","

1) Rake and destroy fallen leaves.

","Generally does not warrant control.


1) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

2) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

3) Spectracide Immunox at 1 fl oz/gal water.

",
Alder ,(Alnus spp.)-Rust,"Melampsoridium alni and M. hiratsukanum are present in Curry County, Oregon. M. hiratsukanum has been reported in British Columbia. An unidentified, and sparsely occurring, rust was observed on leaves along the Mckenzie River in Oregon. It is not a very common or obvious problem around the region.


","Small yellow pustules (uredinia) occur on leaves in summer. Leaves later turn dark brown (telia). Alternate host is suspected to be a conifer.


","No cultural controls are listed.

","


1) Eagle 20 EW at 6 to 12 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

2) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

",
Alfalfa ,(Medicago sativa)-Alfalfa Mosaic,"Alfalfa mosaic virus (AMV), which is transmitted by aphids, in seed, through pollen, and mechanically. The pea aphid, Acyrthosiphon pisum, is the main vector, but many other aphid species can transmit the virus.


","Symptoms, most apparent during cool spring and autumn conditions, are variable because there are many strains of AMV. Alfalfa cultivar genetics and weather conditions affect symptom expression. Symptoms range from a mild yellow and green mottle to a bright yellow mottle to necrosis and death of the plant. There can also be dwarfing and leaf distortion in some alfalfa varieties. Infected plants are predisposed to drought or freeze injury.


","Although aphid-resistant cultivars may help minimize localized spread, no practical control measures are available at present.

",,
Alfalfa ,(Medicago sativa)-Anthracnose,"Colletotrichum trifolii, a fungus favored by wet conditions, spreads rapidly during warm, humid weather. It can survive in infected plant debris in the field or on equipment. Spores can be spread on contaminated seed.


","Symptoms on resistant plants are a few small, irregularly shaped, blackened areas on stems; susceptible plants exhibit large, sunken oval to diamond-shape lesions on stems. Large lesions are straw-color with brown borders and small black fruiting structures (acervuli) may develop in the center of spots. Straw-color shoots, which may have a shepherd's crook, can be observed throughout the field in summer or fall. Crowns can be infected, characterized by a bluish black rot of the crown. Affected plants may be killed directly or predisposed to winter injury.


","

1) Plant resistant cultivars.

2) Remove infested plant debris from equipment.

","


1) Quadris Flowable (Group 11) at 6 to 15.5 fl oz/A. Do not apply more than 15.5 fl oz/A per cutting. Preharvest interval is 14 days for grazing or harvest for forage and hay. 4-hr reentry.

",
Alfalfa ,(Medicago sativa)-Bacterial Wilt,"A bacterium, Clavibacter michiganensis subsp. insidiosus (syn. = Corynebacterium insidiosum), which survives in living or dead alfalfa plant tissue in soil and in alfalfa seed. The disease occurs in all major alfalfa production areas of Oregon, Washington, and Idaho. Infection is through wounds in the roots or crowns or through cut stems after mowing.
Disease severity increases when the northern root-knot nematode is present, and the stem nematode can vector the bacterium.


","Infected plants are stunted, yellow, and exhibit leaf mottling. Leaflets may appear slightly cupped upward to severely distorted. When taproots are cut in cross-section, a yellowish or brownish ring is evident under the bark. Yellowish or brownish streaks may also appear in outer woody tissue. Disease symptoms usually appear during the second or third crop year and are most evident in regrowth after mowing.


","

1) Resistant cultivars are best means of control. The cultivars Ranger, Agate, Iroquis, Oneida, 120, 532, Lahontan, Orestan, Ladak, Vernal, Caliverdi, and numerous others carry resistance.

2) Maintain good stand vigor by managing soil fertility (especially potassium) and carbohydrate reserve storage and by using winter-hardy, resistant cultivars.

3) Do not mow when plants are wet.

4) Harvest young stands before old stands, and remove plant debris from equipment.

5) Rotating to other crops for 2 or more years is beneficial.

",,
Alfalfa ,(Medicago sativa)-Crown and Root Rot Complex,"Several genera of fungi: Fusarium spp., Phoma, Pythium, Rhizoctonia as well as bacteria (Pseudomonas, Serratia) are associated with crown rot of alfalfa. These pathogens are common in most fields and may invade plants weakened by foliar diseases, insects, frost damage, low soil fertility, poor drainage, or summer drought-factors that may predispose plants to crown rot. Physical injury from soil heaving, tractors, or grazing animals can also promote crown rot.


","Rot develops in the tap root and crown area and over several years, plant vigor declines and finally the whole crown will die.


","

1) Promote vigorous growth with proper fertility and irrigation practices.

2) Control foliar diseases and insect problems.

3) Avoid cutting hay when soils are wet.

4) Avoid heavy grazing.

5) Control weeds with herbicides and avoid cultivation practices, which damage crowns.

6) Avoid field sites with heavy or poorly-drained soils.

7) Rotate out of alfalfa for 2 to 3 years.

",,
Alfalfa ,(Medicago sativa)-Crown Wart,"Physoderma alfalfae (syn. Cladochytrium alfalfae, Urophlyctis alfalfae) is a soilborne fungus that will survive in soil indefinitely as resting sporangia. Under favorable, wet conditions, the sporangia release zoospores, which penetrate crown buds. The disease is frequent on bottomlands where there is plenty of moisture. It has not been reported from Washington.
Though all cultivars tested at OSU were susceptible, some were less susceptible than others. These cultivars include Talent, Socheville, DuPuits, Sevelra, and Vernal. Very susceptible cultivars included Buffalo, Lahontan, Ranger, and Rhizoma.


","Large, knobby swellings on crown and roots. The plant becomes stunted, unthrifty, and often dies.


","

1) Provide good soil drainage.

2) Plant least susceptible cultivars.

3) Avoid excessive irrigation.

4) Avoid planting alfalfa on land with a history of the disease.

",,
Alfalfa ,(Medicago sativa)-Damping-off,"Several soil fungi or fungus-like microorganisms can cause damping-off including Pythium spp., Rhizoctonia solani, and Fusarium acuminatum. The fungi can persist on infected plant debris or as saprophytes on other plant species. Conditions unfavorable for seedling growth promote the disease.


","Young plants may die before breaking through the soil (preemergence damping-off). After emergence, young seedlings will shrivel and collapse at the ground line (post-emergence damping-off).


","

1) Seed should be fully mature when planted.

2) Avoid over irrigation, and improve soil drainage.

3) Plant when soil is warm to facilitate rapid germination and emergence.

","


1) Treat seed with:

1.1) Acquire at 0.75 to 1.5 fl oz/100 lb seed plus a dye. For control of Pythium only. See label for reentry restrictions.
1.2) Allegiance-FL at 0.75 to 1.5 fl oz/100 lb seed when Pythium is a problem. See label for reentry restrictions.
1.3) Apron XL at 0.64 fl oz/100 lb seed plus a dye when Pythium is a problem. See label for reentry restrictions.
1.4) Captan 4F at 8 fl oz/100 lb seed. 
1.5) Maxim 4FS at 0.08 to 0.16 fl oz/100 lb seed. For control of pathogenic Fusarium and Rhizoctonia spp. See label for reentry restrictions.
1.6) Mertect at 0.004 mg a.i./seed (5.8 fl oz/100 lbs seed) plus a dye. To control pathogenic Fusarium spp.
1.7) Thiram 50WP Dyed at 8 oz/100 lb seed plus a dye. Not labeled for Oregon. See label for reentry restrictions.
2) Ridomil Gold SL at 0.25 to 0.5 pint/A. Do not feed green forage or cut hay for 60 days after application. See label for reentry restrictions.

","


1) T-22 HC at 0.35 to 26.4 lb/100 lb seed (commercial seed treatment) or 2 to 4 oz/ 100 lb seed (planter box) will suppress certain fungal pathogens including , , and  spp. Do not use in alkaline soils or if soil is below 50°F. 4-hr reentry.

"
